label,text
trung lập,cho mình xin bài nhạc tên là gì với ạ
tiêu cực,cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡
tiêu cực,lo học đi . yêu đương lol gì hay lại thích học sinh học
tích cực,uớc gì sau này về già vẫn có thể như cụ này :))
tích cực,mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .
tiêu cực,thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết
trung lập,một lí do trog muôn vàn lí do
tích cực,thật hay đùa ác vậy . không thể tin được
tiêu cực,"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠"
trung lập,nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa
tích cực,công nhận sáng tạo thật đấy
tiêu cực,đòn tấn công cực gắt và cục sút của anh 😂😂😂
trung lập,trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3
tích cực,minh biết nữa ne
tiêu cực,mấy thằng củ lol việt nam nhảm nhí :))
trung lập,"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người"
trung lập,"bếp dầu , nhiều nhà vẫn dùng"
trung lập,nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề
trung lập,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai"
tích cực,sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁
tiêu cực,"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à"
tiêu cực,coi video chưa hiểu gì đã làm ầm lên
tích cực,chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊
tích cực,yêu chết đi được .
